source_file,source_sheet,source_row,report_period_start,report_period_end,property_total_rooms,business_date,occupancy_rate_reported,rooms_sold,transient_rooms,group_rooms,day_use_rooms,comp_rooms,out_of_order_rooms,on_market_rooms,room_revenue_gross,adr_gross,revpar_gross,room_revenue_net,adr_net,revpar_net
Block12023roomtypes.xls,RoomSales,11,2023-01-01,2023-04-02,60,2023-01-01,0.3833,23,23,0,0,0,28,32,2458.43,106.8883,76.8259,2458.43,106.8883,76.8259
Block12023roomtypes.xls,RoomSales,24,2023-01-01,2023-04-02,60,2023-01-02,0.2167,13,13,0,0,0,24,36,1269.7,97.6692,35.2694,1269.7,97.6692,35.2694
Block12023roomtypes.xls,RoomSales,37,2023-01-01,2023-04-02,60,2023-01-03,0.4333,26,26,0,0,0,20,40,2973.79,114.3765,74.3448,2973.79,114.3765,74.3448
Block12023roomtypes.xls,RoomSales,50,2023-01-01,2023-04-02,60,2023-01-04,0.4167,25,25,0,0,0,7,53,2706.71,108.2684,51.07,2706.71,108.2684,51.07
Block12023roomtypes.xls,RoomSales,63,2023-01-01,2023-04-02,60,2023-01-05,0.4667,28,28,0,0,0,1,59,3084.63,110.1654,52.2819,3084.63,110.1654,52.2819
Block12023roomtypes.xls,RoomSales,76,2023-01-01,2023-04-02,60,2023-01-06,0.7833,47,47,0,0,0,2,58,5372.1,114.3,92.6224,5372.1,114.3,92.6224
Block12023roomtypes.xls,RoomSales,89,2023-01-01,2023-04-02,60,2023-01-07,0.9,54,54,0,0,0,1,59,6245.71,115.6613,105.8595,6245.71,115.6613,105.8595
Block12023roomtypes.xls,RoomSales,102,2023-01-01,2023-04-02,60,2023-01-08,0.3667,22,22,0,0,0,8,52,2417.92,109.9055,46.4985,2417.92,109.9055,46.4985
Block12023roomtypes.xls,RoomSales,115,2023-01-01,2023-04-02,60,2023-01-09,0.4333,26,26,0,0,0,8,52,2809.16,108.0446,54.0223,2809.16,108.0446,54.0223
Block12023roomtypes.xls,RoomSales,128,2023-01-01,2023-04-02,60,2023-01-10,0.4,24,24,0,0,0,9,51,2658.53,110.7721,52.128,2658.53,110.7721,52.128
Block12023roomtypes.xls,RoomSales,141,2023-01-01,2023-04-02,60,2023-01-11,0.5333,32,32,0,0,0,3,57,3532.66,110.3956,61.9765,3532.66,110.3956,61.9765
Block12023roomtypes.xls,RoomSales,154,2023-01-01,2023-04-02,60,2023-01-12,0.5833,35,35,0,0,0,1,59,3664.45,104.6986,62.1093,3664.45,104.6986,62.1093
Block12023roomtypes.xls,RoomSales,167,2023-01-01,2023-04-02,60,2023-01-13,0.9833,59,59,0,0,0,0,60,6642.61,112.5866,110.7102,6642.61,112.5866,110.7102
Block12023roomtypes.xls,RoomSales,180,2023-01-01,2023-04-02,60,2023-01-14,0.95,57,57,0,0,0,0,60,6476.7,113.6263,107.945,6476.7,113.6263,107.945
Block12023roomtypes.xls,RoomSales,193,2023-01-01,2023-04-02,60,2023-01-15,0.8333,50,50,0,0,0,3,57,5342.39,106.8478,93.7261,5263.39,105.2678,92.3402
Block12023roomtypes.xls,RoomSales,206,2023-01-01,2023-04-02,60,2023-01-16,0.4333,26,16,10,0,0,28,32,2769.16,106.5062,86.5362,2769.16,106.5062,86.5362
Block12023roomtypes.xls,RoomSales,219,2023-01-01,2023-04-02,60,2023-01-17,0.7167,43,33,10,0,0,3,57,4736.82,110.1586,83.1021,4736.82,110.1586,83.1021
Block12023roomtypes.xls,RoomSales,232,2023-01-01,2023-04-02,60,2023-01-18,0.6,36,36,0,0,0,2,58,3983.72,110.6589,68.6848,3983.72,110.6589,68.6848
Block12023roomtypes.xls,RoomSales,245,2023-01-01,2023-04-02,60,2023-01-19,0.9833,59,24,35,0,0,0,60,6720.17,113.9012,112.0028,6720.17,113.9012,112.0028
Block12023roomtypes.xls,RoomSales,258,2023-01-01,2023-04-02,60,2023-01-20,,61,48,13,1,0,0,60,6889.1,112.9361,114.8183,6889.1,112.9361,114.8183
Block12023roomtypes.xls,RoomSales,271,2023-01-01,2023-04-02,60,2023-01-21,0.9833,59,46,13,0,1,0,60,6559.29,111.1744,109.3215,6559.29,111.1744,109.3215
Block12023roomtypes.xls,RoomSales,284,2023-01-01,2023-04-02,60,2023-01-22,0.55,33,21,12,0,0,11,49,3637.8,110.2364,74.2408,3637.8,110.2364,74.2408
Block12023roomtypes.xls,RoomSales,297,2023-01-01,2023-04-02,60,2023-01-23,0.5667,34,22,12,0,0,1,59,3424.59,100.7232,58.0439,3424.59,100.7232,58.0439
Block12023roomtypes.xls,RoomSales,310,2023-01-01,2023-04-02,60,2023-01-24,0.85,51,28,23,0,0,0,60,5614.57,110.0896,93.5762,5614.57,110.0896,93.5762
Block12023roomtypes.xls,RoomSales,323,2023-01-01,2023-04-02,60,2023-01-25,0.9333,56,28,28,0,1,0,60,5932.92,105.945,98.882,5932.92,105.945,98.882
Block12023roomtypes.xls,RoomSales,336,2023-01-01,2023-04-02,60,2023-01-26,0.5833,35,35,0,0,0,1,59,4119.5,117.7,69.822,4119.5,117.7,69.822
Block12023roomtypes.xls,RoomSales,349,2023-01-01,2023-04-02,60,2023-01-27,0.95,57,57,0,0,1,1,59,6697.21,117.4949,113.512,6697.21,117.4949,113.512
Block12023roomtypes.xls,RoomSales,362,2023-01-01,2023-04-02,60,2023-01-28,0.9833,59,59,0,0,0,0,60,7682.67,130.2147,128.0445,7682.67,130.2147,128.0445
Block12023roomtypes.xls,RoomSales,375,2023-01-01,2023-04-02,60,2023-01-29,0.3833,23,23,0,0,0,1,59,2510.66,109.1591,42.5536,2510.66,109.1591,42.5536
Block12023roomtypes.xls,RoomSales,388,2023-01-01,2023-04-02,60,2023-01-30,0.35,21,21,0,0,0,1,59,2097.78,99.8943,35.5556,1979.63,94.2681,33.5531
Block12023roomtypes.xls,RoomSales,401,2023-01-01,2023-04-02,60,2023-01-31,0.3333,20,20,0,0,0,1,59,2032.2,101.61,34.4441,1895.94,94.797,32.1346
Block12023roomtypes.xls,RoomSales,414,2023-01-01,2023-04-02,60,2023-02-01,0.45,27,27,0,0,0,1,59,2732.66,101.2096,46.3163,2732.66,101.2096,46.3163
Block12023roomtypes.xls,RoomSales,427,2023-01-01,2023-04-02,60,2023-02-02,0.55,33,33,0,0,0,2,58,3343.48,101.3176,57.6462,3343.48,101.3176,57.6462
Block12023roomtypes.xls,RoomSales,440,2023-01-01,2023-04-02,60,2023-02-03,0.9333,56,56,0,0,0,2,58,6253.4,111.6679,107.8172,6253.4,111.6679,107.8172
Block12023roomtypes.xls,RoomSales,453,2023-01-01,2023-04-02,60,2023-02-04,0.9833,59,59,0,0,0,1,59,7228.82,122.5224,122.5224,7228.82,122.5224,122.5224
Block12023roomtypes.xls,RoomSales,466,2023-01-01,2023-04-02,60,2023-02-05,0.3167,19,19,0,0,0,4,56,2136.75,112.4605,38.1562,2136.75,112.4605,38.1562
Block12023roomtypes.xls,RoomSales,479,2023-01-01,2023-04-02,60,2023-02-06,0.3667,22,22,0,0,0,3,57,2681.86,121.9027,47.0502,2531.41,115.0641,44.4107
Block12023roomtypes.xls,RoomSales,492,2023-01-01,2023-04-02,60,2023-02-07,0.6,36,34,2,0,0,3,57,4301.31,119.4808,75.4616,4183.16,116.1989,73.3888
Block12023roomtypes.xls,RoomSales,505,2023-01-01,2023-04-02,60,2023-02-08,0.65,39,37,2,0,0,4,56,4200.93,107.7162,75.0166,4200.93,107.7162,75.0166
Block12023roomtypes.xls,RoomSales,518,2023-01-01,2023-04-02,60,2023-02-09,0.6333,38,36,2,0,0,3,57,4408.77,116.0203,77.3468,4408.77,116.0203,77.3468
Block12023roomtypes.xls,RoomSales,531,2023-01-01,2023-04-02,60,2023-02-10,0.75,45,39,6,0,0,4,56,6946.54,154.3676,124.0454,6827.79,151.7287,121.9248
Block12023roomtypes.xls,RoomSales,544,2023-01-01,2023-04-02,60,2023-02-11,0.9833,59,53,6,0,0,1,59,9299.67,157.6215,157.6215,9299.67,157.6215,157.6215
Block12023roomtypes.xls,RoomSales,557,2023-01-01,2023-04-02,60,2023-02-12,0.2333,14,14,0,0,0,4,56,1591.37,113.6693,28.4173,1591.37,113.6693,28.4173
Block12023roomtypes.xls,RoomSales,570,2023-01-01,2023-04-02,60,2023-02-13,0.3667,22,22,0,0,0,2,58,2934.04,133.3655,50.5869,2934.04,133.3655,50.5869
Block12023roomtypes.xls,RoomSales,583,2023-01-01,2023-04-02,60,2023-02-14,0.6667,40,40,0,0,0,1,59,4915.35,122.8838,83.311,4736.35,118.4087,80.2771
Block12023roomtypes.xls,RoomSales,596,2023-01-01,2023-04-02,60,2023-02-15,0.35,21,20,1,0,0,6,54,4937.43,235.1157,91.4339,2323.55,110.6452,43.0287
Block12023roomtypes.xls,RoomSales,609,2023-01-01,2023-04-02,60,2023-02-16,0.45,27,26,1,0,0,2,58,3537.38,131.0141,60.9893,3537.38,131.0141,60.9893
Block12023roomtypes.xls,RoomSales,622,2023-01-01,2023-04-02,60,2023-02-17,0.9667,58,52,6,0,0,0,60,7729.08,133.26,128.818,7729.08,133.26,128.818
Block12023roomtypes.xls,RoomSales,635,2023-01-01,2023-04-02,60,2023-02-18,0.9833,59,46,13,0,0,0,60,8034.42,136.1766,133.907,8034.42,136.1766,133.907
Block12023roomtypes.xls,RoomSales,648,2023-01-01,2023-04-02,60,2023-02-19,0.8667,52,52,0,0,0,0,60,7190.9,138.2865,119.8483,6762.9,130.0558,112.715
Block12023roomtypes.xls,RoomSales,661,2023-01-01,2023-04-02,60,2023-02-20,0.6,36,36,0,0,0,3,57,4903.46,136.2072,86.0256,4903.46,136.2072,86.0256
Block12023roomtypes.xls,RoomSales,674,2023-01-01,2023-04-02,60,2023-02-21,0.4667,28,28,0,0,0,0,60,3666.22,130.9364,61.1037,3666.22,130.9364,61.1037
Block12023roomtypes.xls,RoomSales,687,2023-01-01,2023-04-02,60,2023-02-22,0.6333,38,38,0,0,1,1,59,5627.76,148.0989,95.3858,5031.5,132.4079,85.2797
Block12023roomtypes.xls,RoomSales,700,2023-01-01,2023-04-02,60,2023-02-23,0.45,27,27,0,0,0,4,56,3851.26,142.6393,68.7725,3851.26,142.6393,68.7725
Block12023roomtypes.xls,RoomSales,713,2023-01-01,2023-04-02,60,2023-02-24,0.9833,59,48,11,0,0,0,60,8173.99,138.5422,136.2332,8173.99,138.5422,136.2332
Block12023roomtypes.xls,RoomSales,726,2023-01-01,2023-04-02,60,2023-02-25,0.95,57,57,0,0,0,0,60,8344.27,146.3907,139.0712,8201.4,143.8842,136.69
Block12023roomtypes.xls,RoomSales,739,2023-01-01,2023-04-02,60,2023-02-26,0.2333,14,14,0,0,0,19,41,2260.7,161.4786,55.139,2134.05,152.4321,52.05
Block12023roomtypes.xls,RoomSales,752,2023-01-01,2023-04-02,60,2023-02-27,0.2,12,12,0,0,2,13,47,1780.61,148.3842,37.8853,1430.64,119.22,30.4391
Block12023roomtypes.xls,RoomSales,765,2023-01-01,2023-04-02,60,2023-02-28,0.1667,10,10,0,0,1,5,55,1231.19,123.119,22.3853,1231.19,123.119,22.3853
Block12023roomtypes.xls,RoomSales,778,2023-01-01,2023-04-02,60,2023-03-01,0.3,18,18,0,2,0,3,57,2710.55,150.5861,47.5535,2710.55,150.5861,47.5535
Block12023roomtypes.xls,RoomSales,791,2023-01-01,2023-04-02,60,2023-03-02,0.35,21,19,2,0,0,3,57,2907.38,138.4467,51.0067,2907.38,138.4467,51.0067
Block12023roomtypes.xls,RoomSales,804,2023-01-01,2023-04-02,60,2023-03-03,0.9167,55,24,31,0,2,1,59,7222.19,131.3125,122.41,7222.19,131.3125,122.41
Block12023roomtypes.xls,RoomSales,817,2023-01-01,2023-04-02,60,2023-03-04,0.95,57,23,34,0,0,0,60,7525.57,132.0275,125.4262,7525.57,132.0275,125.4262
Block12023roomtypes.xls,RoomSales,830,2023-01-01,2023-04-02,60,2023-03-05,0.1,6,6,0,0,0,2,58,744.01,124.0017,12.8278,744.01,124.0017,12.8278
Block12023roomtypes.xls,RoomSales,843,2023-01-01,2023-04-02,60,2023-03-06,0.4,24,24,0,0,0,3,57,2807.71,116.9879,49.2581,2807.71,116.9879,49.2581
Block12023roomtypes.xls,RoomSales,856,2023-01-01,2023-04-02,60,2023-03-07,0.5,30,30,0,0,0,2,58,3533.19,117.773,60.9171,3533.19,117.773,60.9171
Block12023roomtypes.xls,RoomSales,869,2023-01-01,2023-04-02,60,2023-03-08,0.4,24,24,0,0,0,2,58,2986.81,124.4504,51.4967,2986.81,124.4504,51.4967
Block12023roomtypes.xls,RoomSales,882,2023-01-01,2023-04-02,60,2023-03-09,0.4667,28,28,0,0,0,2,58,3614.05,129.0732,62.3112,3614.05,129.0732,62.3112
Block12023roomtypes.xls,RoomSales,895,2023-01-01,2023-04-02,60,2023-03-10,0.7667,46,42,4,0,0,1,59,6829.14,148.4596,115.7481,6829.14,148.4596,115.7481
Block12023roomtypes.xls,RoomSales,908,2023-01-01,2023-04-02,60,2023-03-11,0.95,57,50,7,0,0,1,59,8886.21,155.8984,150.6137,8886.21,155.8984,150.6137
Block12023roomtypes.xls,RoomSales,921,2023-01-01,2023-04-02,60,2023-03-12,0.1167,7,7,0,0,0,16,44,915.39,130.77,20.8043,900.39,128.6271,20.4634
Block12023roomtypes.xls,RoomSales,934,2023-01-01,2023-04-02,60,2023-03-13,0.25,15,15,0,0,1,2,58,2091.43,139.4287,36.0591,2091.43,139.4287,36.0591
Block12023roomtypes.xls,RoomSales,947,2023-01-01,2023-04-02,60,2023-03-14,0.3333,20,20,0,1,1,4,56,2631.93,131.5965,46.9988,2631.93,131.5965,46.9988
Block12023roomtypes.xls,RoomSales,960,2023-01-01,2023-04-02,60,2023-03-15,0.6333,38,23,15,0,0,2,58,12425.21,326.9792,214.2278,12425.21,326.9792,214.2278
Block12023roomtypes.xls,RoomSales,973,2023-01-01,2023-04-02,60,2023-03-16,0.9667,58,33,25,0,0,1,59,9835.69,169.5809,166.7066,9835.69,169.5809,166.7066
Block12023roomtypes.xls,RoomSales,986,2023-01-01,2023-04-02,60,2023-03-17,0.5,30,30,0,0,0,1,59,4775.59,159.1863,80.9422,4775.59,159.1863,80.9422
Block12023roomtypes.xls,RoomSales,999,2023-01-01,2023-04-02,60,2023-03-18,0.9167,55,46,9,0,0,2,58,9753.18,177.3305,168.1583,9753.18,177.3305,168.1583
Block12023roomtypes.xls,RoomSales,1012,2023-01-01,2023-04-02,60,2023-03-19,0.4667,28,28,0,0,0,1,59,3408.21,121.7218,57.7663,3408.21,121.7218,57.7663
Block12023roomtypes.xls,RoomSales,1025,2023-01-01,2023-04-02,60,2023-03-20,0.55,33,33,0,0,0,3,57,4073.1,123.4273,71.4579,4073.1,123.4273,71.4579
Block12023roomtypes.xls,RoomSales,1038,2023-01-01,2023-04-02,60,2023-03-21,0.7167,43,43,0,0,0,2,58,4960.42,115.3586,85.5245,4960.42,115.3586,85.5245
Block12023roomtypes.xls,RoomSales,1051,2023-01-01,2023-04-02,60,2023-03-22,0.5667,34,33,1,0,0,3,57,3919.18,115.27,68.7575,3919.18,115.27,68.7575
Block12023roomtypes.xls,RoomSales,1064,2023-01-01,2023-04-02,60,2023-03-23,0.8833,53,39,14,0,0,3,57,6260.5,118.1226,109.8333,6260.5,118.1226,109.8333
Block12023roomtypes.xls,RoomSales,1077,2023-01-01,2023-04-02,60,2023-03-24,0.9833,59,44,15,0,0,1,59,8392.28,142.242,142.242,8392.28,142.242,142.242
Block12023roomtypes.xls,RoomSales,1090,2023-01-01,2023-04-02,60,2023-03-25,0.95,57,56,1,0,0,2,58,7669.0,134.5439,132.2241,7669.0,134.5439,132.2241
Block12023roomtypes.xls,RoomSales,1103,2023-01-01,2023-04-02,60,2023-03-26,0.4833,29,29,0,0,0,11,49,3155.86,108.8228,64.4053,3155.86,108.8228,64.4053
Block12023roomtypes.xls,RoomSales,1116,2023-01-01,2023-04-02,60,2023-03-27,0.4,24,24,0,0,0,5,55,2527.25,105.3021,45.95,2527.25,105.3021,45.95
Block12023roomtypes.xls,RoomSales,1129,2023-01-01,2023-04-02,60,2023-03-28,0.6167,37,37,0,0,0,4,56,4220.8,114.0757,75.3714,3898.31,105.3597,69.6127
Block12023roomtypes.xls,RoomSales,1142,2023-01-01,2023-04-02,60,2023-03-29,0.4333,26,26,0,0,0,15,45,2746.75,105.6442,61.0389,2746.75,105.6442,61.0389
Block12023roomtypes.xls,RoomSales,1155,2023-01-01,2023-04-02,60,2023-03-30,0.7,42,42,0,0,0,9,51,4665.24,111.0771,91.4753,4665.24,111.0771,91.4753
Block12023roomtypes.xls,RoomSales,1168,2023-01-01,2023-04-02,60,2023-03-31,0.9333,56,50,6,0,0,0,60,7405.97,132.2495,123.4328,7405.97,132.2495,123.4328
Block12023roomtypes.xls,RoomSales,1181,2023-01-01,2023-04-02,60,2023-04-01,1.0,60,54,6,0,0,0,60,8504.09,141.7348,141.7348,8504.09,141.7348,141.7348
Block12023roomtypes.xls,RoomSales,1194,2023-01-01,2023-04-02,60,2023-04-02,0.5833,35,35,0,0,1,0,60,3838.74,109.6783,63.979,3838.74,109.6783,63.979
Block22023roomtypes.xls,RoomSales,11,2023-04-03,2023-07-03,60,2023-04-03,0.6667,40,40,0,0,0,1,59,4432.72,110.818,75.1308,4432.72,110.818,75.1308
Block22023roomtypes.xls,RoomSales,24,2023-04-03,2023-07-03,60,2023-04-04,0.5667,34,34,0,0,0,3,57,3590.26,105.5959,62.987,3590.26,105.5959,62.987
Block22023roomtypes.xls,RoomSales,37,2023-04-03,2023-07-03,60,2023-04-05,0.85,51,51,0,0,0,1,59,6187.51,121.3237,104.8731,6187.51,121.3237,104.8731
Block22023roomtypes.xls,RoomSales,50,2023-04-03,2023-07-03,60,2023-04-06,1.0,60,59,1,1,0,0,60,7320.71,122.0118,122.0118,7038.51,117.3085,117.3085
Block22023roomtypes.xls,RoomSales,63,2023-04-03,2023-07-03,60,2023-04-07,1.0,60,53,7,0,0,0,60,8099.43,134.9905,134.9905,8099.43,134.9905,134.9905
Block22023roomtypes.xls,RoomSales,76,2023-04-03,2023-07-03,60,2023-04-08,1.0,60,55,5,0,0,0,60,7814.05,130.2342,130.2342,7814.05,130.2342,130.2342
Block22023roomtypes.xls,RoomSales,89,2023-04-03,2023-07-03,60,2023-04-09,0.65,39,39,0,0,0,0,60,4398.89,112.7921,73.3148,4398.89,112.7921,73.3148
Block22023roomtypes.xls,RoomSales,102,2023-04-03,2023-07-03,60,2023-04-10,0.9833,59,47,12,0,0,1,59,7354.03,124.6446,124.6446,7354.03,124.6446,124.6446
Block22023roomtypes.xls,RoomSales,115,2023-04-03,2023-07-03,60,2023-04-11,0.9833,59,46,13,0,0,0,60,7154.44,121.2617,119.2407,7033.82,119.2173,117.2303
Block22023roomtypes.xls,RoomSales,128,2023-04-03,2023-07-03,60,2023-04-12,0.7333,44,44,0,0,0,2,58,4876.1,110.8205,84.0707,4876.1,110.8205,84.0707
Block22023roomtypes.xls,RoomSales,141,2023-04-03,2023-07-03,60,2023-04-13,0.9333,56,56,0,0,0,2,58,6347.93,113.3559,109.4471,6347.93,113.3559,109.4471
Block22023roomtypes.xls,RoomSales,154,2023-04-03,2023-07-03,60,2023-04-14,1.0,60,49,11,0,0,0,60,7988.14,133.1357,133.1357,7988.14,133.1357,133.1357
Block22023roomtypes.xls,RoomSales,167,2023-04-03,2023-07-03,60,2023-04-15,1.0,60,49,11,0,0,0,60,7899.48,131.658,131.658,7899.48,131.658,131.658
Block22023roomtypes.xls,RoomSales,180,2023-04-03,2023-07-03,60,2023-04-16,0.9167,55,55,0,1,0,1,59,6354.52,115.5367,107.7037,6354.52,115.5367,107.7037
