source_file,source_sheet,source_row,report_period_start,report_period_end,property_total_rooms,business_date,occupancy_rate_reported,rooms_sold,transient_rooms,group_rooms,day_use_rooms,comp_rooms,out_of_order_rooms,on_market_rooms,room_revenue_gross,adr_gross,revpar_gross,room_revenue_net,adr_net,revpar_net,room_class
Block12023roomtypes.xls,RoomSales,12,2023-01-01,2023-04-02,60,2023-01-01,0.4412,15,15,0,0,0,10,24,1461.4,97.4267,60.8917,1461.4,97.4267,60.8917,Standard
Block12023roomtypes.xls,RoomSales,17,2023-01-01,2023-04-02,60,2023-01-01,0.3077,8,8,0,0,0,18,8,997.03,124.6287,124.6287,997.03,124.6287,124.6287,Suite
Block12023roomtypes.xls,RoomSales,25,2023-01-01,2023-04-02,60,2023-01-02,0.3235,11,11,0,0,0,10,24,1039.01,94.4555,43.2921,1039.01,94.4555,43.2921,Standard
Block12023roomtypes.xls,RoomSales,30,2023-01-01,2023-04-02,60,2023-01-02,0.0769,2,2,0,0,0,14,12,230.69,115.345,19.2242,230.69,115.345,19.2242,Suite
Block12023roomtypes.xls,RoomSales,38,2023-01-01,2023-04-02,60,2023-01-03,0.5588,19,19,0,0,0,6,28,2092.12,110.1116,74.7186,2092.12,110.1116,74.7186,Standard
Block12023roomtypes.xls,RoomSales,43,2023-01-01,2023-04-02,60,2023-01-03,0.2692,7,7,0,0,0,14,12,881.67,125.9529,73.4725,881.67,125.9529,73.4725,Suite
Block12023roomtypes.xls,RoomSales,51,2023-01-01,2023-04-02,60,2023-01-04,0.4706,16,16,0,0,0,1,33,1685.37,105.3356,51.0718,1685.37,105.3356,51.0718,Standard
Block12023roomtypes.xls,RoomSales,56,2023-01-01,2023-04-02,60,2023-01-04,0.3462,9,9,0,0,0,6,20,1021.34,113.4822,51.067,1021.34,113.4822,51.067,Suite
Block12023roomtypes.xls,RoomSales,64,2023-01-01,2023-04-02,60,2023-01-05,0.5588,19,19,0,0,0,1,33,2115.78,111.3568,64.1145,2115.78,111.3568,64.1145,Standard
Block12023roomtypes.xls,RoomSales,69,2023-01-01,2023-04-02,60,2023-01-05,0.3462,9,9,0,0,0,0,26,968.85,107.65,37.2635,968.85,107.65,37.2635,Suite
Block12023roomtypes.xls,RoomSales,77,2023-01-01,2023-04-02,60,2023-01-06,0.7059,24,24,0,0,0,1,33,2763.96,115.165,83.7564,2763.96,115.165,83.7564,Standard
Block12023roomtypes.xls,RoomSales,82,2023-01-01,2023-04-02,60,2023-01-06,0.8846,23,23,0,0,0,1,25,2608.14,113.3974,104.3256,2608.14,113.3974,104.3256,Suite
Block12023roomtypes.xls,RoomSales,90,2023-01-01,2023-04-02,60,2023-01-07,0.8824,30,30,0,0,0,1,33,3535.43,117.8477,107.1342,3535.43,117.8477,107.1342,Standard
Block12023roomtypes.xls,RoomSales,95,2023-01-01,2023-04-02,60,2023-01-07,0.9231,24,24,0,0,0,0,26,2710.28,112.9283,104.2415,2710.28,112.9283,104.2415,Suite
Block12023roomtypes.xls,RoomSales,103,2023-01-01,2023-04-02,60,2023-01-08,0.4118,14,14,0,0,0,5,29,1474.96,105.3543,50.8607,1474.96,105.3543,50.8607,Standard
Block12023roomtypes.xls,RoomSales,108,2023-01-01,2023-04-02,60,2023-01-08,0.3077,8,8,0,0,0,3,23,942.96,117.87,40.9983,942.96,117.87,40.9983,Suite
Block12023roomtypes.xls,RoomSales,116,2023-01-01,2023-04-02,60,2023-01-09,0.5588,19,19,0,0,0,5,29,1911.81,100.6216,65.9245,1911.81,100.6216,65.9245,Standard
Block12023roomtypes.xls,RoomSales,121,2023-01-01,2023-04-02,60,2023-01-09,0.2692,7,7,0,0,0,3,23,897.35,128.1929,39.0152,897.35,128.1929,39.0152,Suite
Block12023roomtypes.xls,RoomSales,129,2023-01-01,2023-04-02,60,2023-01-10,0.4706,16,16,0,0,0,5,29,1782.17,111.3856,61.4541,1782.17,111.3856,61.4541,Standard
Block12023roomtypes.xls,RoomSales,134,2023-01-01,2023-04-02,60,2023-01-10,0.3077,8,8,0,0,0,4,22,876.36,109.545,39.8345,876.36,109.545,39.8345,Suite
Block12023roomtypes.xls,RoomSales,142,2023-01-01,2023-04-02,60,2023-01-11,0.5882,20,20,0,0,0,2,32,2262.8,113.14,70.7125,2262.8,113.14,70.7125,Standard
Block12023roomtypes.xls,RoomSales,147,2023-01-01,2023-04-02,60,2023-01-11,0.4615,12,12,0,0,0,1,25,1269.86,105.8217,50.7944,1269.86,105.8217,50.7944,Suite
Block12023roomtypes.xls,RoomSales,155,2023-01-01,2023-04-02,60,2023-01-12,0.7647,26,26,0,0,0,1,33,2815.21,108.2773,85.3094,2815.21,108.2773,85.3094,Standard
Block12023roomtypes.xls,RoomSales,160,2023-01-01,2023-04-02,60,2023-01-12,0.3462,9,9,0,0,0,0,26,849.24,94.36,32.6631,849.24,94.36,32.6631,Suite
Block12023roomtypes.xls,RoomSales,168,2023-01-01,2023-04-02,60,2023-01-13,0.9706,33,33,0,0,0,0,34,3412.98,103.4236,100.3818,3412.98,103.4236,100.3818,Standard
Block12023roomtypes.xls,RoomSales,173,2023-01-01,2023-04-02,60,2023-01-13,1.0,26,26,0,0,0,0,26,3229.63,124.2165,124.2165,3229.63,124.2165,124.2165,Suite
Block12023roomtypes.xls,RoomSales,181,2023-01-01,2023-04-02,60,2023-01-14,0.9118,31,31,0,0,0,0,34,2991.83,96.5106,87.995,2991.83,96.5106,87.995,Standard
Block12023roomtypes.xls,RoomSales,186,2023-01-01,2023-04-02,60,2023-01-14,1.0,26,26,0,0,0,0,26,3484.87,134.0335,134.0335,3484.87,134.0335,134.0335,Suite
Block12023roomtypes.xls,RoomSales,194,2023-01-01,2023-04-02,60,2023-01-15,0.9118,31,31,0,0,0,3,31,3142.88,101.3832,101.3832,3063.88,98.8348,98.8348,Standard
Block12023roomtypes.xls,RoomSales,199,2023-01-01,2023-04-02,60,2023-01-15,0.7308,19,19,0,0,0,0,26,2199.51,115.7637,84.5965,2199.51,115.7637,84.5965,Suite
Block12023roomtypes.xls,RoomSales,207,2023-01-01,2023-04-02,60,2023-01-16,0.6176,21,12,9,0,0,12,22,2123.37,101.1129,96.5168,2123.37,101.1129,96.5168,Standard
Block12023roomtypes.xls,RoomSales,212,2023-01-01,2023-04-02,60,2023-01-16,0.1923,5,4,1,0,0,16,10,645.79,129.158,64.579,645.79,129.158,64.579,Suite
Block12023roomtypes.xls,RoomSales,220,2023-01-01,2023-04-02,60,2023-01-17,0.7941,27,18,9,0,0,3,31,2736.96,101.3689,88.289,2736.96,101.3689,88.289,Standard
Block12023roomtypes.xls,RoomSales,225,2023-01-01,2023-04-02,60,2023-01-17,0.6154,16,15,1,0,0,0,26,1999.86,124.9912,76.9177,1999.86,124.9912,76.9177,Suite
