duplicate_group_id,kept_cleaned_record_id,kept_provisional_id,dropped_provisional_id,dedupe_key_type,dedupe_key,dropped_source_file,dropped_source_row_start,dropped_source_row_end,source_occurrences_in_group,drop_reason,group_conflicting_nonkey_fields
1,GUEST_STAY_00001,1,2,reservation_composite,arrival_date=2025-08-05 | departure_date=2025-08-06 | confirmation_number=164388 | room_number=423 | room_type=QQNS | status=Checked-Out | rate_code=BKP1 | rate=113.53,GuestNameList AUGUST2025.XLS,27,32,3,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary | co_cu_raw | co_count
1,GUEST_STAY_00001,1,3,reservation_composite,arrival_date=2025-08-05 | departure_date=2025-08-06 | confirmation_number=164388 | room_number=423 | room_type=QQNS | status=Checked-Out | rate_code=BKP1 | rate=113.53,GuestNameList AUGUST2025.XLS,33,38,3,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary | co_cu_raw | co_count
2,GUEST_STAY_00002,4,5,reservation_composite,arrival_date=2025-08-17 | departure_date=2025-08-18 | confirmation_number=174794 | room_number=314 | room_type=KOBNS | status=Checked-Out | rate_code=EXPWS1 | rate=91.72,GuestNameList AUGUST2025.XLS,45,50,2,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary
4,GUEST_STAY_00004,7,14511,reservation_composite,arrival_date=2025-08-31 | departure_date=2025-09-01 | confirmation_number=162345 | room_number=515 | room_type=KNS | status=Checked-Out | rate_code=Stay&Save | rate=234.0,GuestNameList SEPT2025.XLS,5950,5955,2,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,
5,GUEST_STAY_00005,8,9,reservation_composite,arrival_date=2025-08-27 | departure_date=2025-08-28 | confirmation_number=175024 | room_number=18 | room_type=HKOBNS | status=Checked-Out | rate_code=Stay&Save | rate=200.7,GuestNameList AUGUST2025.XLS,71,77,2,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary
7,GUEST_STAY_00007,11,12,reservation_composite,arrival_date=2025-08-25 | departure_date=2025-08-26 | confirmation_number=174913 | room_number=422 | room_type=KNS | status=Checked-Out | rate_code=EXSTRDEC1 | rate=99.17,GuestNameList AUGUST2025.XLS,91,96,2,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary
9,GUEST_STAY_00009,14,15,reservation_composite,arrival_date=2025-08-15 | departure_date=2025-08-16 | confirmation_number=159105 | room_number=311 | room_type=KSSNS | status=Checked-Out | rate_code=BKP1 | rate=146.97,GuestNameList AUGUST2025.XLS,110,115,2,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary
10,GUEST_STAY_00010,16,17,reservation_composite,arrival_date=2025-08-14 | departure_date=2025-08-15 | confirmation_number=174580 | room_number=411 | room_type=KSSNS | status=Checked-Out | rate_code=BKP1 | rate=108.09,GuestNameList AUGUST2025.XLS,122,127,2,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary
15,GUEST_STAY_00015,22,23,reservation_composite,arrival_date=2025-08-02 | departure_date=2025-08-03 | confirmation_number=164046 | room_number=221 | room_type=QQNS | status=Checked-Out | rate_code=Return | rate=210.6,GuestNameList AUGUST2025.XLS,161,167,2,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary
16,GUEST_STAY_00016,24,14513,reservation_composite,arrival_date=2025-08-31 | departure_date=2025-09-01 | confirmation_number=174738 | room_number=123 | room_type=KSSNS | status=Checked-Out | rate_code=EXPWC1 | rate=86.42,GuestNameList SEPT2025.XLS,5963,5969,4,Duplicate reservation composite key; retained the most complete record and coalesced missing values from other copies.,adults_raw_primary | co_cu_raw | co_count
