source_file,source_sheet,source_row,report_period_start,report_period_end,business_date,arrivals,departures,stayovers,projected_walk_ins,projected_cxl_no_show_rate,rooms_sold,total_comp_rooms,out_of_order_rooms,occupancy_rate_reported,room_revenue_net,adr_reported,revpar_reported,transient_rooms,group_rooms_picked_up,group_rooms_not_picked_up,group_room_revenue_net,group_adr_reported,group_non_gtd_arrivals,group_gtd_arrivals,group_comp_rooms,total_group_guests_in_house
ReservationForecast2023.xls,ReservationForecast,10,2023-01-01,2023-12-31,2023-01-01,18,53,5,0,0.0,23,0,28,0.72,2458.43,106.8882,76.8259,23,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,11,2023-01-01,2023-12-31,2023-01-02,9,19,4,0,0.0,13,0,24,0.36,1269.7,97.6692,35.2694,13,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,12,2023-01-01,2023-12-31,2023-01-03,23,10,3,0,0.0,26,0,20,0.65,2973.79,114.3765,74.3447,26,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,13,2023-01-01,2023-12-31,2023-01-04,13,14,12,0,0.0,25,0,7,0.47,2706.71,108.2684,51.07,25,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,14,2023-01-01,2023-12-31,2023-01-05,24,21,4,0,0.0,28,0,1,0.47,3084.63,110.1653,52.2818,28,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,15,2023-01-01,2023-12-31,2023-01-06,41,22,6,0,0.0,47,0,2,0.81,5372.1,114.3,92.6224,47,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,16,2023-01-01,2023-12-31,2023-01-07,37,30,17,0,0.0,54,0,1,0.92,6245.71,115.6612,105.8594,54,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,17,2023-01-01,2023-12-31,2023-01-08,17,49,5,0,0.0,22,0,8,0.42,2417.92,109.9054,46.4984,22,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,18,2023-01-01,2023-12-31,2023-01-09,19,15,7,0,0.0,26,0,8,0.5,2809.16,108.0446,54.0223,26,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,19,2023-01-01,2023-12-31,2023-01-10,15,17,9,0,0.0,24,0,9,0.47,2658.53,110.772,52.128,24,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,20,2023-01-01,2023-12-31,2023-01-11,17,9,15,0,0.0,32,0,3,0.56,3532.66,110.3956,61.9764,32,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,21,2023-01-01,2023-12-31,2023-01-12,22,19,13,0,0.0,35,0,1,0.59,3664.45,104.6985,62.1093,35,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,22,2023-01-01,2023-12-31,2023-01-13,56,32,3,0,0.0,59,0,0,0.98,6642.61,112.5866,110.7101,59,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,23,2023-01-01,2023-12-31,2023-01-14,39,41,18,0,0.0,57,0,0,0.95,6476.7,113.6263,107.945,57,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,24,2023-01-01,2023-12-31,2023-01-15,37,44,13,0,0.0,50,0,3,0.88,5263.39,105.2678,92.3401,50,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,25,2023-01-01,2023-12-31,2023-01-16,24,48,2,0,0.0,26,0,28,0.81,2769.16,106.5061,86.5362,16,10,0,990.0,99.0,0,10,0,19
ReservationForecast2023.xls,ReservationForecast,26,2023-01-01,2023-12-31,2023-01-17,22,5,21,0,0.0,43,0,3,0.75,4736.82,110.1586,83.1021,33,10,0,990.0,99.0,0,0,0,19
ReservationForecast2023.xls,ReservationForecast,27,2023-01-01,2023-12-31,2023-01-18,19,26,17,0,0.0,36,0,2,0.62,3983.72,110.6588,68.6848,36,0,0,0.0,0.0,0,0,0,0
ReservationForecast2023.xls,ReservationForecast,28,2023-01-01,2023-12-31,2023-01-19,47,24,12,0,0.0,59,0,0,0.98,6720.17,113.9011,112.0028,24,35,0,4063.5,116.1,0,35,0,52
