business_date,guest_source_available,guest_arrivals_total,guest_arrival_checked_out,guest_arrival_cancelled,guest_arrival_no_show,guest_arrival_wait_list,guest_arrival_avg_rate,guest_arrival_median_rate,guest_arrival_avg_nights,guest_arrival_median_nights,guest_arrival_total_booked_room_nights,guest_arrival_avg_adults,guest_arrival_duplicate_source_occurrences,guest_arrival_checked_out_share,guest_arrival_cancelled_share,guest_arrival_no_show_share,guest_arrival_wait_list_share,guest_market_segment_bar_arrivals,guest_market_segment_corp_group_arrivals,guest_market_segment_corporate_arrivals,guest_market_segment_discount_arrivals,guest_market_segment_leisure_arrivals,guest_market_segment_local_corp_arrivals,guest_market_segment_missing_arrivals,guest_market_segment_negotiated_arrivals,guest_market_segment_package_arrivals,guest_market_segment_social_grp_arrivals,guest_market_segment_weddings_arrivals,guest_market_segment_wholesale_arrivals,guest_market_segment_wholesale_arrival_share,guest_market_segment_discount_arrival_share,guest_market_segment_weddings_arrival_share,guest_market_segment_bar_arrival_share,guest_market_segment_social_grp_arrival_share,guest_market_segment_corp_group_arrival_share,guest_market_segment_corporate_arrival_share,guest_market_segment_local_corp_arrival_share,guest_market_segment_negotiated_arrival_share,guest_market_segment_package_arrival_share,guest_market_segment_leisure_arrival_share,guest_market_segment_missing_arrival_share,guest_room_type_dksns_arrivals,guest_room_type_hkns_arrivals,guest_room_type_hkobns_arrivals,guest_room_type_kesns_arrivals,guest_room_type_kfns_arrivals,guest_room_type_kns_arrivals,guest_room_type_kobns_arrivals,guest_room_type_kssns_arrivals,guest_room_type_qqns_arrivals,guest_room_type_qqobns_arrivals,guest_room_type_kns_arrival_share,guest_room_type_qqns_arrival_share,guest_room_type_qqobns_arrival_share,guest_room_type_kfns_arrival_share,guest_room_type_kssns_arrival_share,guest_room_type_kobns_arrival_share,guest_room_type_kesns_arrival_share,guest_room_type_dksns_arrival_share,guest_room_type_hkns_arrival_share,guest_room_type_hkobns_arrival_share,guest_stay_room_nights_proxy,guest_stay_avg_rate,guest_stay_revenue_proxy,guest_stay_avg_adults
2024-12-27,1,1.0,1.0,0.0,0.0,0.0,197.1,197.1,7.0,7.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,197.1,197.1,2.0
2024-12-28,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1,197.1,197.1,2.0
2024-12-29,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1,197.1,197.1,2.0
2024-12-30,1,19.0,19.0,0.0,0.0,0.0,183.261053,181.05,2.0,2.0,38.0,1.947368,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.947368,0.052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,4.0,3.0,0.421053,0.210526,0.157895,0.052632,0.052632,0.0,0.052632,0.052632,0.0,0.0,20,183.953,3679.06,1.95
2024-12-31,1,42.0,32.0,5.0,0.0,5.0,173.002857,188.625,1.0,1.0,42.0,1.809524,62.0,0.761905,0.119048,0.0,0.119048,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.047619,0.119048,0.642857,0.190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,11.0,2.0,2.0,10.0,10.0,0.261905,0.238095,0.238095,0.095238,0.047619,0.047619,0.02381,0.0,0.02381,0.02381,52,175.304423,9115.83,1.903846
2025-01-01,1,13.0,11.0,2.0,0.0,0.0,133.488462,134.03,2.769231,2.0,36.0,1.846154,21.0,0.846154,0.153846,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.307692,0.461538,0.0,0.230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,0.230769,0.076923,0.076923,0.153846,0.153846,0.076923,0.230769,0.0,0.0,0.0,12,129.3125,1551.75,1.75
2025-01-02,1,10.0,8.0,2.0,0.0,0.0,120.041,113.4,1.1,1.0,11.0,1.5,14.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.1,0.1,0.4,0.3,0.0,0.0,0.1,0.0,0.0,16,126.310625,2020.97,1.625
2025-01-03,1,21.0,17.0,3.0,1.0,0.0,114.102381,109.9,1.380952,1.0,29.0,1.714286,35.0,0.809524,0.142857,0.047619,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.380952,0.47619,0.047619,0.095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,4.0,1.0,3.0,1.0,3.0,0.190476,0.047619,0.142857,0.238095,0.142857,0.047619,0.142857,0.047619,0.0,0.0,19,105.416842,2002.92,1.631579
2025-01-04,1,17.0,16.0,1.0,0.0,0.0,142.627059,121.79,1.0,1.0,17.0,1.882353,30.0,0.941176,0.058824,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.294118,0.529412,0.0,0.117647,0.058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,1.0,3.0,1.0,2.0,0.352941,0.058824,0.117647,0.176471,0.176471,0.058824,0.058824,0.0,0.0,0.0,23,133.898696,3079.67,1.782609
2025-01-05,1,6.0,0.0,6.0,0.0,0.0,182.575,178.125,2.0,2.0,12.0,1.833333,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.166667,0.666667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,1,0.0,0.0,1.0
