model,split,row_count,mae,rmse,mape,r2
xgboost,test,365,8.038751805971746,11.210156742707436,0.45421510557199646,0.5394006989330469
random_forest,test,365,8.062182397491627,10.870294573731558,0.4235863603636286,0.5669056372441492
seasonal_previous_week,test,365,9.550684931506849,13.438240263139479,0.35018861837623516,0.3381116946849225
naive_previous_day,test,365,11.306849315068494,15.986552568133588,0.4200592588078395,0.06328053547491619
rolling_7d_mean,test,365,12.527984344422702,15.107156157900812,0.4444729306987342,0.1635011632836615
ridge_regression,test,365,12.743665802416984,14.938251430262303,0.5208217737606834,0.18210145733830663
rolling_28d_mean,test,365,13.510665362035224,16.073343764989644,0.5246162542392053,0.05308200270707952
xgboost,validation,184,6.269149920214778,8.82552774544736,0.2019120617455519,0.650569236063367
random_forest,validation,184,6.683636706503144,8.978561305821817,0.22021331208773384,0.6383459997341876
ridge_regression,validation,184,9.501217954307368,11.567874192129965,0.25058422658465845,0.39967437460512245
seasonal_previous_week,validation,184,10.21195652173913,14.572345757274812,0.32807716743857424,0.04733830602838662
naive_previous_day,validation,184,10.815217391304348,15.102188151275357,0.32967787797296966,-0.023197621099294352
rolling_7d_mean,validation,184,12.944099378881988,15.143472388767123,0.3969943138338502,-0.028799414785697364
rolling_28d_mean,validation,184,13.419836956521738,14.99025974981432,0.4102121045967814,-0.008087164525466095
