feature,importance,rank
target_rooms_sold_lag_7d,0.19784339,1
target_rooms_sold_lag_14d,0.118522346,2
block_room_revenue_net_lag_7d,0.104599245,3
date_day_of_week_cos,0.03747919,4
block_room_revenue_net_lag_1d,0.03309021,5
target_rooms_sold_rolling_7d_mean,0.03158528,6
target_rooms_sold_lag_1d,0.025733465,7
block_adr_net_rolling_28d_std,0.02551105,8
block_adr_net_rolling_56d_std,0.021029571,9
target_rooms_sold_lag_28d,0.018178377,10
target_rooms_sold_rolling_14d_std,0.017898586,11
block_occupancy_rate_reported_rolling_56d_median,0.016819056,12
target_rooms_sold_rolling_7d_std,0.016262667,13
block_occupancy_rate_reported_lag_7d,0.01568293,14
block_occupancy_rate_reported_lag_1d,0.014763958,15
block_occupancy_rate_reported_lag_14d,0.014236748,16
date_month_sin,0.013824273,17
date_year,0.011442925,18
date_day_of_week,0.011371937,19
block_room_revenue_net_rolling_28d_median,0.011182917,20
block_occupancy_rate_reported_rolling_7d_mean,0.010099822,21
target_rooms_sold_rolling_56d_mean,0.009638864,22
block_occupancy_rate_reported_rolling_7d_median,0.009618361,23
block_room_revenue_net_lag_14d,0.009461214,24
block_occupancy_rate_reported_lag_28d,0.009173664,25
block_occupancy_rate_reported_rolling_7d_std,0.008733791,26
block_occupancy_rate_reported_rolling_14d_std,0.008098261,27
block_room_revenue_net_lag_28d,0.0075752567,28
target_rooms_sold_rolling_7d_median,0.006972431,29
date_day_of_year,0.0064124484,30
block_adr_net_rolling_14d_mean,0.0054385583,31
block_adr_net_rolling_7d_median,0.005195141,32
block_room_revenue_net_rolling_7d_mean,0.005148595,33
block_adr_net_rolling_7d_mean,0.0050852774,34
target_rooms_sold_rolling_28d_std,0.0049304385,35
block_room_revenue_net_rolling_56d_std,0.0049016527,36
block_occupancy_rate_reported_rolling_14d_median,0.004867234,37
block_room_revenue_net_rolling_56d_median,0.0048437435,38
block_adr_net_rolling_56d_mean,0.004601559,39
block_adr_net_rolling_56d_median,0.0043044896,40
date_day_of_year_sin,0.00416215,41
block_adr_net_lag_1d,0.004156118,42
date_iso_week,0.0040236325,43
block_room_revenue_net_rolling_14d_mean,0.0038438195,44
block_room_revenue_net_rolling_7d_median,0.0038190158,45
block_adr_net_rolling_14d_median,0.0037195287,46
block_adr_net_lag_28d,0.0037043265,47
block_room_revenue_net_rolling_14d_std,0.00353122,48
date_day_of_year_cos,0.0035141152,49
date_day_of_week_sin,0.0034516049,50
date_day,0.003363219,51
block_adr_net_rolling_28d_median,0.0033501228,52
block_occupancy_rate_reported_rolling_28d_std,0.0033118331,53
block_adr_net_rolling_14d_std,0.003072388,54
block_occupancy_rate_reported_rolling_14d_mean,0.0030614396,55
block_room_revenue_net_rolling_56d_mean,0.0030146888,56
block_occupancy_rate_reported_rolling_56d_std,0.002956777,57
block_adr_net_lag_7d,0.0029406308,58
target_rooms_sold_minus_7d,0.0028865617,59
block_adr_net_rolling_28d_mean,0.0028626944,60
target_rooms_sold_rolling_28d_mean,0.0028012346,61
block_room_revenue_net_rolling_28d_std,0.0027861714,62
target_rooms_sold_rolling_56d_std,0.0026902256,63
block_occupancy_rate_reported_rolling_28d_mean,0.0026428164,64
block_room_revenue_net_rolling_14d_median,0.002532036,65
block_room_revenue_net_rolling_7d_std,0.002378593,66
date_month_cos,0.002178495,67
block_occupancy_rate_reported_rolling_28d_median,0.0020942276,68
block_occupancy_rate_reported_rolling_56d_mean,0.0020857526,69
block_adr_net_rolling_7d_std,0.0020776484,70
block_room_revenue_net_rolling_28d_mean,0.002013943,71
target_rooms_sold_rolling_14d_mean,0.0020040367,72
target_rooms_sold_lag_365d,0.0019266547,73
block_adr_net_lag_14d,0.0018969241,74
target_rooms_sold_rolling_56d_median,0.0018651382,75
block_adr_net_lag_365d,0.0017777419,76
block_room_revenue_net_lag_365d,0.0015940277,77
block_occupancy_rate_reported_lag_365d,0.0011769142,78
target_rooms_sold_rolling_28d_median,0.0005726029,79
date_quarter,0.0,80
date_month,0.0,81
target_rooms_sold_rolling_14d_median,0.0,82
date_is_weekend,0.0,83
date_is_quarter_start,0.0,84
date_is_quarter_end,0.0,85
date_is_month_start,0.0,86
date_is_month_end,0.0,87
