scenario,model,split,row_count,mae,rmse,mape,r2,model_family
exclude_all_flagged,xgboost,test,354,7.4433541917531505,9.926893444041577,0.4561948917309624,0.5848942854894719,tree_baseline
exclude_all_flagged,random_forest,test,354,7.465911268377081,9.834086658145626,0.4267014410732346,0.5926196717877064,tree_baseline
exclude_all_flagged,transformer_28d_small,test,354,7.549647309685831,9.94694082761621,0.4260711987998638,0.5832159786838278,sequence_neural_network
exclude_all_flagged,gru_42d_balanced,test,354,7.8434700292382535,10.548041313682939,0.48246988694237447,0.5313208473778579,sequence_neural_network
exclude_all_flagged,transformer_56d_regularized,test,354,7.852382492884404,10.419036716650382,0.4174659681654109,0.5427148178525276,sequence_neural_network
exclude_all_flagged,gru_56d_wide,test,354,7.853772508222504,10.589950573731418,0.48536592898156666,0.527589156064033,sequence_neural_network
exclude_all_flagged,gru_56d_more_regularized,test,354,7.8620708864287465,10.587009058361536,0.48883917425770557,0.5278515578112681,sequence_neural_network
exclude_all_flagged,gru_84d_compact,test,354,8.27747772777148,10.684160817359427,0.49512817083031113,0.5191464523693552,sequence_neural_network
exclude_all_flagged,gru_28d_regularized,test,354,8.455293132760431,10.884156804095518,0.4938026490965451,0.5009758408634908,sequence_neural_network
exclude_all_flagged,lstm_56d_regularized,test,354,8.874841663123524,11.412780361189089,0.5286856992714212,0.4513253307908548,sequence_neural_network
exclude_all_flagged,gru_14d_small,test,354,8.999413021540237,11.084525698118687,0.456800267586131,0.48243342550930834,sequence_neural_network
exclude_all_flagged,lstm_28d_regularized,test,354,9.016146422779492,11.273243598559754,0.4787456988040331,0.464659900956894,sequence_neural_network
exclude_all_flagged,lstm_14d_small,test,354,9.337290489067465,11.82224225452549,0.5011071515756024,0.411248941961155,sequence_neural_network
exclude_all_flagged,mlp_medium,test,354,12.663189704361512,16.630839773822782,0.6436159307133528,-0.1650923500263204,neural_network
exclude_all_flagged,mlp_regularized,test,354,13.878200249585541,17.481739742461617,0.6790520148395773,-0.2873637994544569,neural_network
exclude_all_flagged,mlp_small,test,354,15.851679559478617,20.747366741032714,0.6585887837805794,-0.8132511410241687,neural_network
