business_date,pricing_model,is_flagged_quality_row,data_quality_flag_type,target_rooms_sold,property_total_rooms,forecast_rooms_sold,forecast_occupancy_rate,demand_band,pricing_reference_adr,pricing_adjustment_rate,recommended_adr,historical_adr_net,recommended_vs_reference_adr_delta,recommended_vs_historical_adr_delta,historical_room_revenue_net,simulated_revenue_at_actual_rooms,forecast_revenue_at_recommended_adr,simulated_revenue_delta_at_actual_rooms,data_quality_review_note
2025-01-01,xgboost,0,,11,60,37.76689910888672,0.6294483184814453,neutral,141.07,0.0,141.07,141.0682,0.0,0.0,1551.75,1551.77,5327.78,0.02,
2025-01-02,xgboost,0,,15,60,22.38960075378418,0.3731600125630697,low,134.73,-0.08,123.95,134.7313,-10.78,-10.78,2020.97,1859.25,2775.19,-161.72,
2025-01-03,xgboost,0,,17,60,32.962276458740234,0.5493712743123372,moderately_low,103.92,-0.04,99.76,103.9247,-4.16,-4.16,1766.72,1695.92,3288.32,-70.8,
2025-01-04,xgboost,0,,22,60,30.321081161499023,0.5053513526916504,moderately_low,139.99,-0.04,134.39,139.985,-5.6,-5.6,3079.67,2956.58,4074.85,-123.09,
2025-01-05,xgboost,1,zero_rooms_sold,0,60,16.90665626525879,0.2817776044209798,very_low,124.86,-0.12,109.88,0.0,-14.98,109.88,0.0,0.0,1857.7,0.0,"Zero rooms sold and zero revenue; possible closure, outage, or raw report anomaly."
2025-01-06,xgboost,1,zero_rooms_sold,0,60,11.625959396362305,0.19376598993937175,very_low,120.7,-0.12,106.22,0.0,-14.48,106.22,0.0,0.0,1234.91,0.0,"Zero rooms sold and zero revenue; possible closure, outage, or raw report anomaly."
2025-01-07,xgboost,1,zero_rooms_sold,0,60,16.85364532470703,0.2808940887451172,very_low,116.73,-0.12,102.72,0.0,-14.01,102.72,0.0,0.0,1731.21,0.0,"Zero rooms sold and zero revenue; possible closure, outage, or raw report anomaly."
2025-01-08,xgboost,1,zero_rooms_sold,0,60,31.569469451904297,0.526157824198405,moderately_low,112.49,-0.04,107.99,0.0,-4.5,107.99,0.0,0.0,3409.19,0.0,"Zero rooms sold and zero revenue; possible closure, outage, or raw report anomaly."
2025-01-09,xgboost,1,zero_rooms_sold,0,60,38.53639602661133,0.6422732671101888,neutral,108.71,0.0,108.71,0.0,0.0,108.71,318.68,0.0,4189.29,-318.68,"Zero rooms sold but nonzero net room revenue; likely revenue adjustment, late posting, or report anomaly."
2025-01-10,xgboost,1,zero_rooms_sold,0,60,41.265869140625,0.6877644856770834,neutral,104.77,0.0,104.77,0.0,0.0,104.77,0.0,0.0,4323.43,0.0,"Zero rooms sold and zero revenue; possible closure, outage, or raw report anomaly."
